Step 1330 / 5004, Train loss: 22.053951859474182
Step 1340 / 5004, Train loss: 22.792049884796143
Step 1350 / 5004, Train loss: 23.366890907287598
Step 1360 / 5004, Train loss: 23.179782390594482
Step 1370 / 5004, Train loss: 23.448485493659973
Step 1380 / 5004, Train loss: 23.929233074188232
Step 1390 / 5004, Train loss: 23.87975251674652
Step 1400 / 5004, Train loss: 22.869147419929504
Step 1410 / 5004, Train loss: 23.34661293029785
Step 1420 / 5004, Train loss: 21.56187355518341
Step 1430 / 5004, Train loss: 21.622751235961914
Step 1440 / 5004, Train loss: 24.17071509361267
Step 1450 / 5004, Train loss: 24.182225942611694
Step 1460 / 5004, Train loss: 23.39519476890564
Step 1470 / 5004, Train loss: 22.249307870864868
Step 1480 / 5004, Train loss: 21.296772241592407
Step 1490 / 5004, Train loss: 24.35192346572876
Step 1500 / 5004, Train loss: 20.810108542442322
Step 1510 / 5004, Train loss: 24.203776836395264
Step 1520 / 5004, Train loss: 23.856520414352417
Step 1530 / 5004, Train loss: 24.339308500289917
Step 1540 / 5004, Train loss: 23.637993693351746
Step 1550 / 5004, Train loss: 21.88131618499756
Step 1560 / 5004, Train loss: 21.685089349746704
Step 1570 / 5004, Train loss: 21.65915048122406
Step 1580 / 5004, Train loss: 23.517640352249146
Step 1590 / 5004, Train loss: 20.05521011352539
Step 1600 / 5004, Train loss: 23.818574905395508
Step 1610 / 5004, Train loss: 24.49405837059021
Step 1620 / 5004, Train loss: 23.07504141330719
Step 1630 / 5004, Train loss: 23.425601482391357
Step 1640 / 5004, Train loss: 23.61713457107544
Step 1650 / 5004, Train loss: 24.707754373550415
Step 1660 / 5004, Train loss: 22.851727724075317
Step 1670 / 5004, Train loss: 23.897080421447754
Step 1680 / 5004, Train loss: 23.540919303894043
Step 1690 / 5004, Train loss: 23.376514315605164
Step 1700 / 5004, Train loss: 22.729289889335632
Step 1710 / 5004, Train loss: 23.33022940158844
Step 1720 / 5004, Train loss: 24.490111231803894
Step 1730 / 5004, Train loss: 21.87742567062378
Step 1740 / 5004, Train loss: 25.843297481536865
Step 1750 / 5004, Train loss: 21.187960267066956
Step 1760 / 5004, Train loss: 22.68167757987976
Step 1770 / 5004, Train loss: 21.77434754371643
Step 1780 / 5004, Train loss: 23.787488102912903
Step 1790 / 5004, Train loss: 22.43813192844391
Step 1800 / 5004, Train loss: 25.312580585479736
Step 1810 / 5004, Train loss: 22.682181000709534
Step 1820 / 5004, Train loss: 24.57519507408142
Step 1830 / 5004, Train loss: 22.300732135772705
Step 1840 / 5004, Train loss: 23.69629430770874
Step 1850 / 5004, Train loss: 24.18676245212555
Step 1860 / 5004, Train loss: 23.34355056285858
Step 1870 / 5004, Train loss: 23.162091493606567
Step 1880 / 5004, Train loss: 23.839452981948853
Step 1890 / 5004, Train loss: 23.334482312202454
Step 1900 / 5004, Train loss: 22.645310163497925
Step 1910 / 5004, Train loss: 23.658833265304565
Step 1920 / 5004, Train loss: 24.14379608631134
Step 1930 / 5004, Train loss: 22.976498126983643
Step 1940 / 5004, Train loss: 25.882038354873657
Step 1950 / 5004, Train loss: 22.698424816131592
Step 1960 / 5004, Train loss: 22.569765210151672
Step 1970 / 5004, Train loss: 22.873657703399658
Step 1980 / 5004, Train loss: 23.87312078475952
Step 1990 / 5004, Train loss: 21.99441146850586
Step 2000 / 5004, Train loss: 22.994855999946594
Step 2010 / 5004, Train loss: 24.44809865951538
Step 2020 / 5004, Train loss: 23.239071488380432
Step 2030 / 5004, Train loss: 23.304696202278137
Step 2040 / 5004, Train loss: 24.039592146873474
Step 2050 / 5004, Train loss: 23.36799383163452
Step 2060 / 5004, Train loss: 24.138806581497192
Step 2070 / 5004, Train loss: 22.901652812957764
Step 2080 / 5004, Train loss: 21.8129643201828
Step 2090 / 5004, Train loss: 23.593879342079163
Step 2100 / 5004, Train loss: 23.34533131122589
Step 2110 / 5004, Train loss: 25.245776295661926
Step 2120 / 5004, Train loss: 25.3042414188385
Step 2130 / 5004, Train loss: 23.028527855873108
Step 2140 / 5004, Train loss: 22.07893741130829
Step 2150 / 5004, Train loss: 23.187129735946655
Step 2160 / 5004, Train loss: 23.497212529182434
Step 2170 / 5004, Train loss: 23.58403992652893
Step 2180 / 5004, Train loss: 23.022604942321777
Step 2190 / 5004, Train loss: 20.023561596870422
Step 2200 / 5004, Train loss: 22.00138747692108
Step 2210 / 5004, Train loss: 24.19214689731598
Step 2220 / 5004, Train loss: 23.825536966323853
Step 2230 / 5004, Train loss: 24.305840373039246
Step 2240 / 5004, Train loss: 25.2946959733963
Step 2250 / 5004, Train loss: 22.297699332237244
Step 2260 / 5004, Train loss: 21.129051089286804
Step 2270 / 5004, Train loss: 22.73875403404236
Step 2280 / 5004, Train loss: 22.280258774757385
Step 2290 / 5004, Train loss: 24.057357668876648
Step 2300 / 5004, Train loss: 22.91308856010437
Step 2310 / 5004, Train loss: 23.933646202087402
Step 2320 / 5004, Train loss: 22.715580105781555
Step 2330 / 5004, Train loss: 23.05806291103363
Step 2340 / 5004, Train loss: 22.205002307891846
Step 2350 / 5004, Train loss: 22.782504081726074
Step 2360 / 5004, Train loss: 21.531377911567688
Step 2370 / 5004, Train loss: 21.501479744911194
Step 2380 / 5004, Train loss: 24.054202675819397
Step 2390 / 5004, Train loss: 23.261470675468445
Step 2400 / 5004, Train loss: 21.70777916908264
Step 2410 / 5004, Train loss: 23.089102625846863
Step 2420 / 5004, Train loss: 23.588730931282043
Step 2430 / 5004, Train loss: 21.058332681655884
Step 2440 / 5004, Train loss: 25.204103231430054
Step 2450 / 5004, Train loss: 21.464187026023865
Step 2460 / 5004, Train loss: 22.423580408096313
Step 2470 / 5004, Train loss: 23.118099331855774
Step 2480 / 5004, Train loss: 25.234009265899658
Step 2490 / 5004, Train loss: 22.114047646522522
Step 2500 / 5004, Train loss: 22.01754367351532
Step 2510 / 5004, Train loss: 18.23545902967453
Step 2520 / 5004, Train loss: 19.80908715724945
Step 2530 / 5004, Train loss: 19.416152000427246
Step 2540 / 5004, Train loss: 20.586019158363342
Step 2550 / 5004, Train loss: 18.918365120887756
Step 2560 / 5004, Train loss: 20.496140360832214
Step 2570 / 5004, Train loss: 20.90968668460846
Step 2580 / 5004, Train loss: 18.511854767799377
Step 2590 / 5004, Train loss: 18.423210501670837
Step 2600 / 5004, Train loss: 18.461349427700043
Step 2610 / 5004, Train loss: 18.819740414619446
Step 2620 / 5004, Train loss: 19.172311902046204
Step 2630 / 5004, Train loss: 21.698728442192078
Step 2640 / 5004, Train loss: 18.745660066604614
Step 2650 / 5004, Train loss: 20.358510971069336
Step 2660 / 5004, Train loss: 18.52081274986267
Step 2670 / 5004, Train loss: 19.630420446395874
Step 2680 / 5004, Train loss: 17.771408200263977
Step 2690 / 5004, Train loss: 18.80241823196411
Step 2700 / 5004, Train loss: 19.727904796600342
Step 2710 / 5004, Train loss: 21.198173761367798
Step 2720 / 5004, Train loss: 18.501947164535522
Step 2730 / 5004, Train loss: 18.91301465034485
Step 2740 / 5004, Train loss: 19.60492491722107
Step 2750 / 5004, Train loss: 19.85538923740387
Step 2760 / 5004, Train loss: 21.02774703502655
Step 2770 / 5004, Train loss: 19.01617956161499
Step 2780 / 5004, Train loss: 18.860312700271606
Step 2790 / 5004, Train loss: 21.40323293209076
Step 2800 / 5004, Train loss: 20.916017770767212
Step 2810 / 5004, Train loss: 19.423410296440125
Step 2820 / 5004, Train loss: 20.702317476272583
Step 2830 / 5004, Train loss: 19.3926522731781
Step 2840 / 5004, Train loss: 20.203619599342346
Step 2850 / 5004, Train loss: 20.97687029838562
Step 2860 / 5004, Train loss: 19.550557732582092
Step 2870 / 5004, Train loss: 20.519100785255432
Step 2880 / 5004, Train loss: 17.950626373291016
Step 2890 / 5004, Train loss: 19.842720985412598
Step 2900 / 5004, Train loss: 20.222696900367737
Step 2910 / 5004, Train loss: 19.978076100349426
Step 2920 / 5004, Train loss: 19.673562169075012
Step 2930 / 5004, Train loss: 19.52125608921051
Step 2940 / 5004, Train loss: 21.735724568367004
Step 2950 / 5004, Train loss: 20.170968174934387
Step 2960 / 5004, Train loss: 18.479949474334717
Step 2970 / 5004, Train loss: 17.681171655654907
Step 2980 / 5004, Train loss: 19.47212862968445
Step 2990 / 5004, Train loss: 18.766836285591125
Step 3000 / 5004, Train loss: 19.295517444610596
Step 3010 / 5004, Train loss: 18.517714858055115
Step 3020 / 5004, Train loss: 19.113171458244324
Step 3030 / 5004, Train loss: 18.306087493896484
Step 3040 / 5004, Train loss: 19.975241541862488
Step 3050 / 5004, Train loss: 20.583592295646667
Step 3060 / 5004, Train loss: 18.98065435886383
Step 3070 / 5004, Train loss: 20.85547149181366
Step 3080 / 5004, Train loss: 19.75425112247467
Step 3090 / 5004, Train loss: 20.696126222610474
Step 3100 / 5004, Train loss: 17.979320764541626
Step 3110 / 5004, Train loss: 20.438528537750244
Step 3120 / 5004, Train loss: 19.689991235733032
Step 3130 / 5004, Train loss: 21.740700721740723
Step 3140 / 5004, Train loss: 20.915053009986877
Step 3150 / 5004, Train loss: 20.621175527572632
Step 3160 / 5004, Train loss: 18.004379749298096
Step 3170 / 5004, Train loss: 19.086547374725342
Step 3180 / 5004, Train loss: 19.720760464668274
Step 3190 / 5004, Train loss: 19.14084553718567
Step 3200 / 5004, Train loss: 19.063305020332336
Step 3210 / 5004, Train loss: 20.66085183620453
Step 3220 / 5004, Train loss: 20.11028826236725
Step 3230 / 5004, Train loss: 20.037274956703186
Step 3240 / 5004, Train loss: 21.142693638801575
Step 3250 / 5004, Train loss: 20.708330869674683
Step 3260 / 5004, Train loss: 18.950691282749176
Step 3270 / 5004, Train loss: 19.730796813964844
Step 3280 / 5004, Train loss: 19.3257839679718
Step 3290 / 5004, Train loss: 17.76456093788147
Step 3300 / 5004, Train loss: 21.715771198272705
Step 3310 / 5004, Train loss: 20.002792358398438
Step 3320 / 5004, Train loss: 19.17458951473236
Step 3330 / 5004, Train loss: 20.791515946388245
Step 3340 / 5004, Train loss: 20.192619562149048
Step 3350 / 5004, Train loss: 19.780767917633057
Step 3360 / 5004, Train loss: 19.997724294662476
Step 3370 / 5004, Train loss: 18.922502398490906
Step 3380 / 5004, Train loss: 21.384358286857605
Step 3390 / 5004, Train loss: 19.574171900749207
Step 3400 / 5004, Train loss: 20.824917912483215
Step 3410 / 5004, Train loss: 19.256747364997864
Step 3420 / 5004, Train loss: 21.195456504821777
Step 3430 / 5004, Train loss: 20.76310908794403
Step 3440 / 5004, Train loss: 18.66406774520874
Step 3450 / 5004, Train loss: 17.66172194480896
Step 3460 / 5004, Train loss: 19.270082712173462
Step 3470 / 5004, Train loss: 19.42083430290222
Step 3480 / 5004, Train loss: 19.175095558166504
Step 3490 / 5004, Train loss: 20.63866436481476
Step 3500 / 5004, Train loss: 19.640313625335693
Step 3510 / 5004, Train loss: 18.297118425369263
Step 3520 / 5004, Train loss: 19.92764902114868
Step 3530 / 5004, Train loss: 20.238617181777954
Step 3540 / 5004, Train loss: 19.949217796325684
Step 3550 / 5004, Train loss: 20.722503542900085
Step 3560 / 5004, Train loss: 21.19756829738617
Step 3570 / 5004, Train loss: 19.768044114112854
Step 3580 / 5004, Train loss: 17.199293732643127
Step 3590 / 5004, Train loss: 18.838858604431152
Step 3600 / 5004, Train loss: 19.880629301071167
Step 3610 / 5004, Train loss: 20.129101514816284
Step 3620 / 5004, Train loss: 18.56537389755249
Step 3630 / 5004, Train loss: 19.864301800727844
Step 3640 / 5004, Train loss: 18.53050458431244
Step 3650 / 5004, Train loss: 21.67628562450409
Step 3660 / 5004, Train loss: 19.13839304447174
Step 3670 / 5004, Train loss: 20.98489284515381
Step 3680 / 5004, Train loss: 20.269906401634216
Step 3690 / 5004, Train loss: 19.132322669029236
Step 3700 / 5004, Train loss: 18.65763759613037
Step 3710 / 5004, Train loss: 20.5322265625
Step 3720 / 5004, Train loss: 20.664139986038208
Step 3730 / 5004, Train loss: 21.031378507614136
Step 3740 / 5004, Train loss: 20.037362933158875
Step 3750 / 5004, Train loss: 18.770798325538635
